"ERNv","HostSpecies","VirusType","PathogenSpecies","Virus","HostStageInfected","HostTissueInfected","FieldOrLab","Country","IntermediateHost","CreationDate","ModificationDate","ProvinceA","PathogenValue","Group","HostTaxID","HostGenus","HostFamily","HostOrder","HostClass","PathTaxID","PathGenus","PathFamily","PathOrder","PathClass","PathKingdom"
12,"Dermestes lardarius","DNA virus","Baculoviridae","NPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",219542,"Dermestes","Dermestidae","Coleoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
13,"Macrodorcus rectus","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
14,"Macrodorcus rubrofemoratus","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
15,"Allomyrina dichotomus","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,2001-06-19,NA,NA,"Virus",NA,NA,NA,NA,NA,10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
1349,"Costelytra zealandica","DNA virus","Iridoviridae","Costelytra zealandica IV Type 16","Larva","fat body",NA,"New Zealand",NA,1996-01-08,1999-02-12,NA,NA,"Virus",50579,"Costelytra","Scarabaeidae","Coleoptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
16,"Heteronychus arator","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",295550,"Heteronychus","Scarabaeidae","Coleoptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
17,"Odontria sp.","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",50575,"Odontria","Scarabaeidae","Coleoptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
18,"Opogonia sp.","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
19,"Tenebrio molitor","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",7067,"Tenebrio","Tenebrionidae","Coleoptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
20,"Bibio marci","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",189979,"Bibio","Bibionidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
21,"Calliphora vomitoria","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",27454,"Calliphora","Calliphoridae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
22,"Culicoides arboricola","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",2510297,"Culicoides","Ceratopogonidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
23,"Culiseta annulata","DNA virus","Iridoviridae","Culiseta annulata IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",332058,"Culiseta","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
24,"Corethrella brakeleyi","DNA virus","Iridoviridae","Corethrella brakeleyi IV Type 13",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",2203728,"Corethrella","Chaoboridae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
25,"Mochlonyx velutinus","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",2516900,"Mochlonyx","Chaoboridae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
26,"Chironomus plumosus","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",33397,"Chironomus","Chironomidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
27,"Chironomus plumosus","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",33397,"Chironomus","Chironomidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
28,"Goeldichironomus holoprasinus","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
29,"Aedes aegypti","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",7159,"Aedes","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
30,"Aedes albopictus","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",7160,"Aedes","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
31,"Aedes annulipes","DNA virus","Iridoviridae","Aedes annulipes IV Type 5",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",866103,"Ochlerotatus","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
32,"Aedes cantans","DNA virus","Parvoviridae","DNV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",120869,"Ochlerotatus","Culicidae","Diptera","Insecta",10780,NA,"Parvoviridae","Piccovirales","Quintoviricetes","Shotokuvirae"
33,"Aedes caspius","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",120870,"Ochlerotatus","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
34,"Aedes cataphylla","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",120871,"Ochlerotatus","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
35,"Aedes detritus","DNA virus","Iridoviridae","Aedes detritus IV Type 14",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",120873,"Ochlerotatus","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
36,"Aedes dorsalis","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",663928,"Ochlerotatus","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
37,"Aedes excrucians","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",329103,"Ochlerotatus","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
38,"Aedes flavescens","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",662894,"Ochlerotatus","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
39,"Aedes fulvus pallens","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-10-27,NA,NA,"Virus",1285602,"Ochlerotatus","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
40,"Aedes nigromaculis","DNA virus","Baculoviridae","NPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",767023,"Ochlerotatus","Culicidae","Diptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
41,"Aedes sierrensis","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",1205942,"Ochlerotatus","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
42,"Aedes sierrensis","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",1205942,"Ochlerotatus","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
43,"Aedes sollicitans","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",310513,"Ochlerotatus","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
44,"Aedes sticticus","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",120878,"Ochlerotatus","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
45,"Aedes sticticus","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",120878,"Ochlerotatus","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
1350,"Aedes taeniorhynchus","DNA virus","Iridoviridae","Aedes taeniorhynchus IV (Blue-Green)","Larva",NA,"Field","USA",NA,1996-01-08,1999-02-12,NA,NA,"Virus",329105,"Ochlerotatus","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
46,"Aedes taeniorhynchus","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",329105,"Ochlerotatus","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
47,"Aedes taeniorhynchus","DNA virus","Baculoviridae","NPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",329105,"Ochlerotatus","Culicidae","Diptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
48,"Aedes tormentor","DNA virus","Baculoviridae","NPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",1379453,"Ochlerotatus","Culicidae","Diptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
49,"Aedes triseriatus","DNA virus","Baculoviridae","NPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",7162,"Ochlerotatus","Culicidae","Diptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
50,"Aedes triseriatus","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",7162,"Ochlerotatus","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
51,"Aedes vexans","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",7163,"Aedes","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
52,"Aedes vexans","DNA virus","Parvoviridae","DNV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",7163,"Aedes","Culicidae","Diptera","Insecta",10780,NA,"Parvoviridae","Piccovirales","Quintoviricetes","Shotokuvirae"
53,"Anopheles albimanus","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",7167,"Anopheles","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
54,"Anopheles bradleyi","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",49917,"Anopheles","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
55,"Anopheles crucians","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",869064,"Anopheles","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
56,"Anopheles crucians","DNA virus","Baculoviridae","NPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",869064,"Anopheles","Culicidae","Diptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
57,"Anopheles freeborni","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",7170,"Anopheles","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
58,"Anopheles quadrimaculatus","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",7166,"Anopheles","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
59,"Anopheles quadrimaculatus","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",7166,"Anopheles","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
60,"Anopheles stephensi","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",30069,"Anopheles","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
61,"Culex erraticus","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",42427,"Culex","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
62,"Culex peccator","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",1085691,"Culex","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
63,"Culex peccator","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",1085691,"Culex","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
64,"Culex pipiens","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",7175,"Culex","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
65,"Culex quinquefasciatus","DNA virus","Baculoviridae","NPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",7176,"Culex","Culicidae","Diptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
66,"Culex restuans","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",38742,"Culex","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
67,"Culex salinarius","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",38743,"Culex","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
68,"Culex salinarius","DNA virus","Baculoviridae","NPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",38743,"Culex","Culicidae","Diptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
69,"Culex salinarius","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",38743,"Culex","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
70,"Culex tarsalis","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",7177,"Culex","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
71,"Culex territans","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",42431,"Culex","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
72,"Culex territans","DNA virus","Iridoviridae","Culex territans IV",NA,NA,NA,"USSR",NA,1996-01-08,1999-02-12,NA,NA,"Virus",42431,"Culex","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
73,"Aedes cantans","DNA virus","Iridoviridae","Aedes cantans IV Type 4",NA,NA,NA,"USSR",NA,1996-01-08,1999-02-12,NA,NA,"Virus",120869,"Ochlerotatus","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
74,"Culiseta inornata","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",704160,"Culiseta","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
75,"Culiseta inornata","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",704160,"Culiseta","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
76,"Culiseta melanura","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",329109,"Culiseta","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
77,"Culiseta melanura","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",329109,"Culiseta","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
78,"Culiseta morsitans","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",329107,"Culiseta","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
79,"Orthopodomyia signifera","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",665339,"Orthopodomyia","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
80,"Psorophora confinnis","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",869071,"Psorophora","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
81,"Psorophora confinnis","DNA virus","Baculoviridae","NPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",869071,"Psorophora","Culicidae","Diptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
82,"Psorophora confinnis","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",869071,"Psorophora","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
83,"Psorophora ferox","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",7183,"Psorophora","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
84,"Psorophora ferox","DNA virus","Baculoviridae","NPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",7183,"Psorophora","Culicidae","Diptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
85,"Psorophora ferox","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",7183,"Psorophora","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
86,"Psorophora horrida","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",2067438,"Psorophora","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
87,"Psorophora varipes","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",2488823,"Psorophora","Culicidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
88,"Psorophora varipes","DNA virus","Baculoviridae","NPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",2488823,"Psorophora","Culicidae","Diptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
89,"Uranotaenia sapphirina","DNA virus","Baculoviridae","NPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",139056,"Uranotaenia","Culicidae","Diptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
90,"Uranotaenia sapphirina","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",139056,"Uranotaenia","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
91,"Wyeomyia smithii ","DNA virus","Baculoviridae","NPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",174621,"Wyeomyia","Culicidae","Diptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
92,"Rhynchosciara angelae","DNA virus","Baculoviridae","NPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
93,"Rhynchosciara hollaenderi","DNA virus","Baculoviridae","NPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",293278,"Rhynchosciara","Sciaridae","Diptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
94,"Rhynchosciara milleri","DNA virus","Baculoviridae","NPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",727901,"Rhynchosciara","Sciaridae","Diptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
95,"Prosimulium mixtum","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",994300,"Prosimulium","Simuliidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
96,"Simulium ornatum","DNA virus","Iridoviridae","Simulium ornatum IV Type 7",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",304233,"Simulium","Simuliidae","Diptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
97,"Simulium tuberosum","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",357430,"Simulium","Simuliidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
98,"Simulium venustum","RNA virus","Reoviridae","CPV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",7194,"Simulium","Simuliidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
